LGA,LGA_CODE,region,age,weekly_income,non_english,prop_non_english,area,pop,pop_density,active,Total Cases,case_rate,First,Second,log_active,normalised_weekly_income,sqrt_pop_density
Mitchell,LGA24850,Regional,37,648,377,818,1562,46082,29.5,136,273,295,85,50.4,2.470007589,0.210723584,5.43156705
Moira,LGA24900,Regional,47,524,193,645,82,29925,364.9,2,11,7,91.2,58.4,0.824995837,-0.796718206,19.1033773
Monash,LGA24970,Metro,37,569,15252,7519,43,202847,4717.4,228,646,112,80.7,50.8,2.050766258,-0.431114331,68.68312815
Moonee Valley,LGA25060,Metro,38,744,5464,4194,815,130294,159.9,449,1531,345,81.5,55.0,2.537321924,0.990678518,12.64396847
Moorabool,LGA25150,Regional,40,635,156,445,51,35049,687.2,35,106,100,89,53.9,1.999392413,0.105104687,26.21517298
Moreland,LGA25250,Metro,34,680,10334,5563,724,185767,256.6,943,3222,508,75.2,47.1,2.705543125,0.470708562,16.01824754
Mornington Peninsula,LGA25340,Metro,46,630,863,515,591,167636,283.6,86,300,51,88.6,62.6,1.710131162,0.064482034,16.84185424
Mount Alexander,LGA25430,Regional,49,550,93,471,2117,19754,9.3,17,28,86,90,65.9,1.934793872,-0.585480411,3.054689666
Moyne,LGA25490,Regional,43,620,41,242,1498,16953,11.3,6,8,35,91.8,62.5,1.548904688,-0.016763272,3.364088205
Murrindindi,LGA25620,Regional,48,553,47,323,432,14570,33.7,6,18,41,84.7,55.9,1.614691699,-0.56110682,5.807482402
Nillumbik,LGA25710,Metro,41,784,460,707,2212,65094,29.4,52,220,80,92.4,63.4,1.902462384,1.315659741,5.424727391
Northern Grampians,LGA25810,Regional,48,513,65,570,21,11402,543.0,0,5,0,90.8,62.4,0,-0.886088042,23.30133861
Port Phillip,LGA25900,Metro,36,1087,2563,2217,1326,115601,87.2,270,688,234,74.5,52.5,2.368402173,3.777392502,9.337036003
Pyrenees,LGA25990,Regional,50,472,21,281,3,7472,2490.7,3,6,40,85.7,58.6,1.603684391,-1.219193796,49.90657939
Queenscliffe,LGA26080,Regional,60,671,11,374,334,2940,8.8,0,1,0,95,87.7,0,0.397587787,2.96688308
South Gippsland,LGA26170,Regional,47,537,121,404,1326,29914,22.6,11,27,37,88.2,59.2,1.565518196,-0.691099309,4.749692377
Southern Grampians,LGA26260,Regional,46,576,56,348,2569,16100,6.3,0,2,0,92.7,64.8,0,-0.374242617,2.503403678
Stonnington,LGA26350,Metro,35,1042,3292,2795,26,117768,4529.5,139,459,118,77.5,55.3,2.071987501,3.411788626,67.3018459
Strathbogie,LGA26430,Regional,52,546,42,390,1275,10781,8.5,0,2,0,90.7,61.9,0,-0.617978534,2.907866275
Surf Coast,LGA26490,Regional,42,722,101,302,600,33456,55.8,8,26,24,95,71.8,1.378615972,0.811938846,7.467261881
Swan Hill,LGA26610,Regional,40,580,623,3017,2361,20649,8.7,0,6,0,95,58.0,0,-0.341744495,2.957341778
Towong,LGA26670,Regional,50,535,10,166,2577,6040,2.3,0,0,0,90.9,63.5,0,-0.70734837,1.530950892
Wangaratta,LGA26700,Regional,45,595,186,637,1407,29187,20.7,4,7,14,91.2,61.7,1.136870533,-0.219876536,4.554573137
Warrnambool,LGA26730,Regional,40,618,383,1089,47,35181,748.5,21,35,60,94.2,65.3,1.775911115,-0.033012333,27.3593113
Wellington,LGA26810,Regional,43,562,226,509,4176,44380,10.6,3,23,7,85,60.0,0.829933957,-0.487986045,3.259968502
West Wimmera,LGA26890,Regional,48,555,10,260,3517,3841,1.1,0,1,0,87.7,62.3,0,-0.544857759,1.045047353
Whitehorse,LGA26980,Metro,38,619,12220,6837,64,178739,2792.8,80,333,45,84.5,55.2,1.650870663,-0.024887802,52.84691926
Whittlesea,LGA27070,Metro,34,591,14781,6420,490,230238,469.9,1392,3604,605,78.4,42.3,2.781462231,-0.252374658,21.67656498
Wodonga,LGA27170,Regional,36,674,315,749,167,42083,252.0,5,9,12,86,56.6,1.074863312,0.421961379,15.87431926
Wyndham,LGA27260,Metro,32,685,12437,4598,542,270487,499.1,946,4217,350,89.2,48.5,2.543744739,0.511331215,22.33950549
Yarra,LGA27350,Metro,33,1039,4450,4384,20,101495,5074.8,189,799,186,72.5,51.1,2.270017156,3.387415035,71.23727957
Yarra Ranges,LGA27450,Metro,40,667,1545,969,2468,159462,64.6,89,385,56,83.6,51.3,1.7467328,0.365089665,8.038148508
Yarriambiack,LGA27630,Regional,50,491,23,346,2829,6639,2.3,1,2,15,89.9,65.6,1.177897331,-1.064827715,1.531915677
