LGA,LGA_CODE,Region,Median Age,Median Weekly Income ($),No. Non-English Speakers,"Non-English Speakers per 100,000",Land Area (km^2),Population,Population Density (per km^2),Active Cases,Total Cases,"Active Cases per 100,000",1st Vaccination %,2nd Vaccination %,log Active Cases,Weekly Median Income (normalised),sqrt Population Density
Moonee Valley,LGA25060,Metro,38,744,5464,4194,43,130294,3030.09,449,1531,345,81.5,55,2.54,0.99,55.05
Moorabool,LGA25150,Regional,40,635,156,445,2111,35049,16.60,35,106,100,89,53.9,2.00,0.11,4.07
Moreland,LGA25250,Metro,34,680,10334,5563,51,185767,3642.49,943,3222,508,75.2,47.1,2.71,0.47,60.35
Mornington Peninsula,LGA25340,Metro,46,630,863,515,724,167636,231.54,86,300,51,88.6,62.6,1.71,0.06,15.22
Mount Alexander,LGA25430,Regional,49,550,93,471,1530,19754,12.91,17,28,86,90,65.9,1.93,-0.59,3.59
Moyne,LGA25490,Regional,43,620,41,242,5482,16953,3.09,6,8,35,91.8,62.5,1.55,-0.02,1.76
Murrindindi,LGA25620,Regional,48,553,47,323,3880,14570,3.76,6,18,41,84.7,55.9,1.61,-0.56,1.94
Nillumbik,LGA25710,Metro,41,784,460,707,432,65094,150.68,52,220,80,92.4,63.4,1.90,1.32,12.28
Northern Grampians,LGA25810,Regional,48,513,65,570,5730,11402,1.99,0,5,0,90.8,62.4,0.00,-0.89,1.41
Port Phillip,LGA25900,Metro,36,1087,2563,2217,21,115601,5504.81,270,688,234,74.5,52.5,2.37,3.78,74.19
Pyrenees,LGA25990,Regional,50,472,21,281,3435,7472,2.18,3,6,40,85.7,58.6,1.60,-1.22,1.47
Queenscliffe,LGA26080,Regional,60,671,11,374,9,2940,326.67,0,1,0,95,87.7,0.00,0.40,18.07
South Gippsland,LGA26170,Regional,47,537,121,404,3435,29914,8.71,11,27,37,88.2,59.2,1.57,-0.69,2.95
Southern Grampians,LGA26260,Regional,46,576,56,348,6654,16100,2.42,0,2,0,92.7,64.8,0.00,-0.37,1.56
Stonnington,LGA26350,Metro,35,1042,3292,2795,26,117768,4529.54,139,459,118,77.5,55.3,2.07,3.41,67.30
Strathbogie,LGA26430,Regional,52,546,42,390,3303,10781,3.26,0,2,0,90.7,61.9,0.00,-0.62,1.81
Surf Coast,LGA26490,Regional,42,722,101,302,1553,33456,21.54,8,26,24,95,71.8,1.38,0.81,4.64
Swan Hill,LGA26610,Regional,40,580,623,3017,6115,20649,3.38,0,6,0,95,58,0.00,-0.34,1.84
Towong,LGA26670,Regional,50,535,10,166,6675,6040,0.90,0,0,0,90.9,63.5,0.00,-0.71,0.95
Wangaratta,LGA26700,Regional,45,595,186,637,3645,29187,8.01,4,7,14,91.2,61.7,1.14,-0.22,2.83
Warrnambool,LGA26730,Regional,40,618,383,1089,121,35181,290.75,21,35,60,94.2,65.3,1.78,-0.03,17.05
Wellington,LGA26810,Regional,43,562,226,509,10817,44380,4.10,3,23,7,85,60,0.83,-0.49,2.03
West Wimmera,LGA26890,Regional,48,555,10,260,9108,3841,0.42,0,1,0,87.7,62.3,0.00,-0.54,0.65
Whitehorse,LGA26980,Metro,38,619,12220,6837,64,178739,2792.80,80,333,45,84.5,55.2,1.65,-0.02,52.85
Whittlesea,LGA27070,Metro,34,591,14781,6420,490,230238,469.87,1392,3604,605,78.4,42.3,2.78,-0.25,21.68
Wodonga,LGA27170,Regional,36,674,315,749,443,42083,95.00,5,9,12,86,56.6,1.07,0.42,9.75
Wyndham,LGA27260,Metro,32,685,12437,4598,542,270487,499.05,946,4217,350,89.2,48.5,2.54,0.51,22.34
Yarra,LGA27350,Metro,33,1039,4450,4384,20,101495,5074.75,189,799,186,72.5,51.1,2.27,3.39,71.24
Yarra Ranges,LGA27450,Metro,40,667,1545,969,2468,159462,64.61,89,385,56,83.6,51.3,1.75,0.37,8.04
Yarriambiack,LGA27630,Regional,50,491,23,346,7326,6639,0.91,1,2,15,89.9,65.6,1.18,-1.06,0.95
