LGA,LGA_CODE,Region,Median Age,Median Weekly Income ($),No. non English,non English per 100000,Land Area (km^2),Population Size,Population Density (per km^2),Active Cases,Total Cases,Active Cases per 100000,1st Vaccination %,2nd Vaccination %,log Active Cases,Median Weekly Income (normalised),sqrt Population Density,second
Macedon Ranges,LGA24130,Regional,42,702,236,469.8293882,113,50231,444.5221239,38,113,75.65049471,94.8,67.3,1.878811772,0.649448234,21.08369332,67.3
Manningham,LGA24210,Metro,43,629,8785,6886.253361,1484,127573,85.96563342,180,426,141.0956864,86.4,57.1,2.149513737,0.056357503,9.271765389,57.1
Mansfield,LGA24250,Regional,48,580,37,403.2258065,31,9176,296,0,10,0,89.9,59.5,0,-0.341744495,17.20465053,59.5
Maribyrnong,LGA24330,Metro,33,703,7570,8100.761921,61,93448,1531.934426,260,966,278.2296036,76.3,49.4,2.444403337,0.657572765,39.13993391,49.4
Maroondah,LGA24410,Metro,38,696,4073,3435.449316,37,118558,3204.27027,150,295,126.5203529,84.8,55.1,2.102160395,0.600701051,56.60627412,55.1
Melbourne,LGA24600,Metro,28,642,9320,5208.013188,528,178955,338.9299242,367,1517,205.0794893,68.3,38.4,2.311922227,0.161976401,18.41004954,38.4
Melton,LGA24650,Metro,33,658,5339,3237.818005,8526,164895,19.34025334,842,2422,510.6279754,81.7,44.1,2.708104604,0.29196889,4.397755489,44.1
Mildura,LGA24780,Regional,40,555,1143,2049.231762,1105,55777,50.47692308,9,26,16.13568317,83.7,49.2,1.207787358,-0.544857759,7.10471133,49.2
Mitchell,LGA24850,Regional,37,648,377,818.106853,1562,46082,29.50192061,136,273,295.1260796,85,50.4,2.470007589,0.210723584,5.43156705,50.4
Moira,LGA24900,Regional,47,524,193,644.9456976,82,29925,364.9390244,2,11,6.683375104,91.2,58.4,0.824995837,-0.796718206,19.1033773,58.4
Monash,LGA24970,Metro,37,569,15252,7518.967498,43,202847,4717.372093,228,646,112.3999862,80.7,50.8,2.050766258,-0.431114331,68.68312815,50.8
Moonee Valley,LGA25060,Metro,38,744,5464,4193.592951,815,130294,159.8699387,449,1531,344.6052773,81.5,55,2.537321924,0.990678518,12.64396847,55
Moorabool,LGA25150,Regional,40,635,156,445.0911581,51,35049,687.2352941,35,106,99.86019573,89,53.9,1.999392413,0.105104687,26.21517298,53.9
Moreland,LGA25250,Metro,34,680,10334,5562.882536,724,185767,256.5842541,943,3222,507.6251433,75.2,47.1,2.705543125,0.470708562,16.01824754,47.1
Mornington Peninsula,LGA25340,Metro,46,630,863,514.8058889,591,167636,283.6480541,86,300,51.30162972,88.6,62.6,1.710131162,0.064482034,16.84185424,62.6
Mount Alexander,LGA25430,Regional,49,550,93,470.7907259,2117,19754,9.331128956,17,28,86.05851979,90,65.9,1.934793872,-0.585480411,3.054689666,65.9
Moyne,LGA25490,Regional,43,620,41,241.8451012,1498,16953,11.31708945,6,8,35.39196602,91.8,62.5,1.548904688,-0.016763272,3.364088205,62.5
Murrindindi,LGA25620,Regional,48,553,47,322.5806452,432,14570,33.72685185,6,18,41.18050789,84.7,55.9,1.614691699,-0.56110682,5.807482402,55.9
Nillumbik,LGA25710,Metro,41,784,460,706.6703536,2212,65094,29.42766727,52,220,79.88447476,92.4,63.4,1.902462384,1.315659741,5.424727391,63.4
Northern Grampians,LGA25810,Regional,48,513,65,570.0754254,21,11402,542.952381,0,5,0,90.8,62.4,0,-0.886088042,23.30133861,62.4
Port Phillip,LGA25900,Metro,36,1087,2563,2217.108849,1326,115601,87.18024133,270,688,233.5619934,74.5,52.5,2.368402173,3.777392502,9.337036003,52.5
Pyrenees,LGA25990,Regional,50,472,21,281.0492505,3,7472,2490.666667,3,6,40.14989293,85.7,58.6,1.603684391,-1.219193796,49.90657939,58.6
Queenscliffe,LGA26080,Regional,60,671,11,374.1496599,334,2940,8.80239521,0,1,0,95,87.7,0,0.397587787,2.96688308,87.7
South Gippsland,LGA26170,Regional,47,537,121,404.4928796,1326,29914,22.55957768,11,27,36.77207996,88.2,59.2,1.565518196,-0.691099309,4.749692377,59.2
Southern Grampians,LGA26260,Regional,46,576,56,347.826087,2569,16100,6.267029973,0,2,0,92.7,64.8,0,-0.374242617,2.503403678,64.8
Stonnington,LGA26350,Metro,35,1042,3292,2795.326404,26,117768,4529.538462,139,459,118.0286665,77.5,55.3,2.071987501,3.411788626,67.3018459,55.3
Strathbogie,LGA26430,Regional,52,546,42,389.574251,1275,10781,8.455686275,0,2,0,90.7,61.9,0,-0.617978534,2.907866275,61.9
Surf Coast,LGA26490,Regional,42,722,101,301.8890483,600,33456,55.76,8,26,23.91200383,95,71.8,1.378615972,0.811938846,7.467261881,71.8
Swan Hill,LGA26610,Regional,40,580,623,3017.095259,2361,20649,8.745870394,0,6,0,95,58,0,-0.341744495,2.957341778,58
Towong,LGA26670,Regional,50,535,10,165.5629139,2577,6040,2.343810633,0,0,0,90.9,63.5,0,-0.70734837,1.530950892,63.5
Wangaratta,LGA26700,Regional,45,595,186,637.2700175,1407,29187,20.74413646,4,7,13.70473156,91.2,61.7,1.136870533,-0.219876536,4.554573137,61.7
Warrnambool,LGA26730,Regional,40,618,383,1088.655809,47,35181,748.5319149,21,35,59.69131065,94.2,65.3,1.775911115,-0.033012333,27.3593113,65.3
Wellington,LGA26810,Regional,43,562,226,509.2383957,4176,44380,10.62739464,3,23,6.759801712,85,60,0.829933957,-0.487986045,3.259968502,60
West Wimmera,LGA26890,Regional,48,555,10,260.3488675,3517,3841,1.092123969,0,1,0,87.7,62.3,0,-0.544857759,1.045047353,62.3
Whitehorse,LGA26980,Metro,38,619,12220,6836.784362,64,178739,2792.796875,80,333,44.75799909,84.5,55.2,1.650870663,-0.024887802,52.84691926,55.2
Whittlesea,LGA27070,Metro,34,591,14781,6419.87856,490,230238,469.8734694,1392,3604,604.5917703,78.4,42.3,2.781462231,-0.252374658,21.67656498,42.3
Wodonga,LGA27170,Regional,36,674,315,748.5207804,167,42083,251.994012,5,9,11.88128223,86,56.6,1.074863312,0.421961379,15.87431926,56.6
Wyndham,LGA27260,Metro,32,685,12437,4598.002862,542,270487,499.0535055,946,4217,349.7395439,89.2,48.5,2.543744739,0.511331215,22.33950549,48.5
Yarra,LGA27350,Metro,33,1039,4450,4384.452436,20,101495,5074.75,189,799,186.2160698,72.5,51.1,2.270017156,3.387415035,71.23727957,51.1
Yarra Ranges,LGA27450,Metro,40,667,1545,968.8828686,2468,159462,64.61183144,89,385,55.8126701,83.6,51.3,1.7467328,0.365089665,8.038148508,51.3
Yarriambiack,LGA27630,Regional,50,491,23,346.4377165,2829,6639,2.346765642,1,2,15.06250941,89.9,65.6,1.177897331,-1.064827715,1.531915677,65.6
